city,total_restaurants,avg_rating,avg_cost_for_two,price_range
Abu Dhabi,20,4.3,182.0,3.3
Agra,20,3.965,1065.0,2.65
Ahmedabad,21,4.161904761904762,857.1428571428571,2.5714285714285716
Albany,20,3.5549999999999997,19.75,1.7
Allahabad,20,3.3950000000000005,517.5,2.65
Amritsar,21,3.6857142857142855,480.95238095238096,1.8095238095238095
Armidale,1,3.5,20.0,2.0
Athens,20,4.2,19.0,1.6
Augusta,20,4.13,27.0,2.15
Aurangabad,20,3.375,622.5,2.2
Balingup,1,3.2,20.0,2.0
Bangalore,20,4.375,1232.5,2.7
Beechworth,1,4.6,20.0,2.0
Bhopal,20,3.95,620.0,2.15
Bhubaneshwar,21,3.9809523809523806,678.5714285714286,1.8571428571428572
Boise,20,4.26,27.25,2.05
Bras�_lia,20,3.495,120.0,3.1
Cedar Rapids/Iowa City,20,4.165,25.75,2.05
Chandigarh,18,4.050000000000001,1072.2222222222222,2.5
Chatham-Kent,1,3.7,25.0,2.0
Chennai,20,4.3149999999999995,1085.0,2.45
Clatskanie,1,4.3,10.0,1.0
Cochrane,1,3.1,25.0,2.0
Coimbatore,20,4.135,782.5,2.4
Columbus,20,4.029999999999999,26.75,2.15
Consort,1,3.0,25.0,2.0
Dalton,20,4.11,16.0,1.4
Davenport,20,3.715,25.25,2.0
Dehradun,20,4.05,727.5,3.05
Des Moines,20,4.235,28.0,2.15
Dicky Beach,1,3.6,7.0,1.0
Dubai,20,4.37,211.75,3.05
Dubuque,20,3.535,23.75,1.9
East Ballina,1,4.1,20.0,2.0
Faridabad,251,1.8669322709163347,447.60956175298804,1.454183266932271
Fernley,1,3.7,10.0,1.0
Flaxton,1,3.5,30.0,3.0
Forrest,1,3.7,20.0,2.0
Gainesville,20,4.035,21.25,1.75
Ghaziabad,25,2.852,602.0,1.8
Goa,20,4.245,1175.0,3.65
Gurgaon,1118,2.6514311270125224,714.0161001788908,1.8559928443649374
Guwahati,21,4.190476190476191,821.4285714285714,2.5238095238095237
Hepburn Springs,2,3.8,13.5,1.5
Huskisson,1,4.1,20.0,2.0
Hyderabad,18,4.344444444444445,1361.111111111111,2.888888888888889
Indore,20,3.97,960.0,2.75
Inverloch,1,3.7,7.0,1.0
Jaipur,20,4.13,1310.0,2.85
Kanpur,20,3.815,915.0,2.7
Kochi,20,4.08,730.0,2.05
Kolkata,20,4.255,1272.5,2.85
Lakes Entrance,1,3.8,7.0,1.0
Lakeview,1,3.6,10.0,1.0
Lincoln,1,4.5,25.0,2.0
Lorn,1,3.6,20.0,2.0
Lucknow,21,4.1952380952380945,859.5238095238095,2.5714285714285716
Ludhiana,20,3.9799999999999995,1160.0,2.65
Macedon,1,3.5,20.0,2.0
Macon,20,4.115,27.25,2.05
Makati City,2,4.65,1150.0,3.0
Mandaluyong City,4,4.625,2000.0,3.75
Mangalore,20,3.745,782.5,2.5
Mayfield,1,2.9,20.0,2.0
Mc Millan,1,2.4,10.0,1.0
Middleton Beach,1,3.8,30.0,3.0
Miller,1,3.4,0.0,1.0
Mohali,1,4.3,550.0,2.0
Monroe,1,3.6,25.0,2.0
Montville,1,2.4,30.0,3.0
Mumbai,20,4.085,1072.5,2.75
Mysore,20,3.6950000000000003,814.5,2.45
Nagpur,20,3.965,715.0,2.3
Nashik,20,3.5200000000000005,662.5,2.8
New Delhi,1851,2.69427027027027,664.4216216216216,1.7448648648648648
Ojo Caliente,1,3.6,40.0,3.0
Orlando,20,4.475,40.25,2.9
Palm Cove,1,4.4,30.0,3.0
Pasay City,3,4.366666666666667,3333.3333333333335,4.0
Pasig City,3,4.633333333333334,933.3333333333334,3.0
Paynesville,1,2.6,120.0,4.0
Penola,1,3.4,20.0,2.0
Pensacola,20,4.2,30.25,2.35
Phillip Island,1,3.7,20.0,2.0
Pocatello,20,3.4850000000000003,20.75,1.8
Potrero,1,3.3,25.0,2.0
Princeton,1,4.0,70.0,4.0
Quezon City,1,4.8,800.0,3.0
Rest of Hawaii,20,4.41,31.75,2.35
Rio de Janeiro,20,4.265,126.75,3.5
San Juan City,2,4.25,850.0,3.0
Santa Rosa,2,3.8,825.0,3.0
Savannah,20,4.154999999999999,32.5,2.35
Sharjah,20,4.029999999999999,105.5,3.3
Singapore,20,3.575,155.75,3.65
Sioux City,20,3.7649999999999997,24.25,1.9
S��o Paulo,20,3.53,157.25,3.6
Tagaytay City,1,4.5,1200.0,3.0
Taguig City,4,4.525,1725.0,3.5
Tampa Bay,20,4.41,34.75,2.55
Tanunda,1,4.4,30.0,3.0
Trentham East,1,4.1,20.0,2.0
Valdosta,20,3.715,29.25,2.25
Vernonia,1,4.3,10.0,1.0
Victor Harbor,1,3.6,20.0,2.0
Vineland Station,1,4.3,70.0,4.0
Waterloo,20,3.65,21.25,1.75
Weirton,1,3.9,25.0,2.0
Winchester Bay,1,3.2,25.0,2.0
Yorkton,1,3.3,25.0,2.0
